,osmid
1158,25757064
1159,25757064
1160,23825058
1161,23825058
1162,25757056
1163,25757064
1164,25757064
1165,418113953
1166,26295874
1167,26295874
1168,639965689
1169,639965689
1170,31764485
1171,31764485
1172,25757064
1173,25757064
1174,25757066
1175,26295874
1176,26295874
1177,25757064
1178,25757064
1179,25757066
1180,216656196
1181,23825059
1182,25757068
1183,118204356
1184,118204356
1185,307157806
1186,307157806
1187,25757064
1188,25757064
1189,25757068
1190,25526692
1191,181645726
1192,181645729
1193,103886116
1194,103886116
1195,157616597
1196,315156041
1197,41192466
1198,41192466
1199,41192467
1200,41192466
1201,41192466
1202,41192466
1203,41192466
1204,34238982
1205,34238982
1206,23825058
1207,23825058
1208,41192466
1209,160141120
1210,732159399
1211,160141120
1212,160141120
1213,31767028
1214,31767028
1215,224904420
1216,224904416
1217,224904420
1218,54569758
1219,54569758
1220,504133233
1221,224904416
1222,312856545
1223,312856545
1224,288028119
1225,83174694
1226,574707648
1227,574707648
1228,26143738
1229,26143738
1230,598911529
1231,163559512
1232,163559512
1233,163559512
1234,31764485
1235,31764485
1236,599983947
1237,599983947
1238,720908346
1239,720908346
1240,34238982
1241,34238982
1242,720908345
1243,720908345
1244,720908345
1245,720908345
1246,25047962
1247,132173589
1248,216656201
1249,24157876
1250,28816890
1251,294809235
1252,552832245
1253,552832245
1254,736573250
1255,294809235
1256,25530611
1257,25530611
1258,265006541
1259,256387157
1260,256387157
1261,290087812
1262,709510402
1263,709510402
1264,639965689
1265,639965689
1266,54569758
1267,54569758
1268,196578517
1269,421567985
1270,421567985
1271,421567985
1272,421567985
1273,421567985
1274,686357023
1275,686357030
1276,312856545
1277,312856545
1278,710680155
1279,173382669
1280,173382669
1281,315156047
1282,497905727
1283,48429704
1284,48429704
1285,636803855
1286,409572303
1287,409572303
1288,225017396
1289,225017396
1290,92456143
1291,92456143
1292,22810309
1293,22810309
1294,709320513
1295,25517355
1296,196629409
1297,31764485
1298,31764485
1299,24820410
1300,616229520
1301,720665841
1302,720665841
1303,29260552
1304,29260552
1305,675122632
1306,675122632
1307,157616597
1308,48429704
1309,48429704
1310,54569758
1311,54569758
1312,294586116
1313,31876776
1314,31876776
1315,31876762
1316,689985301
1317,31876776
1318,31876776
1319,48429704
1320,48429704
1321,689985301
1322,216640455
1323,24346225
1324,24346225
1325,543762587
1326,411704290
1327,411704290
1328,25529090
1329,552853680
1330,552853680
1331,31767028
1332,31767028
1333,25529091
1334,103310901
1335,103310908
1336,180594744
1337,28816891
1338,28816891
1339,103310897
1340,103310901
1341,216640455
1342,157616594
1343,315177351
1344,315177351
1345,103310901
1346,103310906
1347,103310901
1348,19803788
1349,19803788
1350,103310902
1351,103310906
1352,103310897
1353,103310906
1354,490630746
1355,490630746
1356,103310902
1357,103310902
1358,156875189
1359,156875189
1360,490630746
1361,490630746
1362,164313470
1363,164313470
1364,31767028
1365,31767028
1366,25022499
1367,25022499
1368,92870221
1369,92870221
1370,490630746
1371,490630746
1372,306690899
1373,306690899
1374,553124324
1375,553124324
1376,22810309
1377,22817970
1378,293551879
1379,31767028
1380,31767028
1381,25022499
1382,25022499
1383,312856545
1384,312856545
1385,742251553
1386,742251553
1387,126106944
1388,294888797
1389,78164494
1390,78164494
1391,373371287
1392,373371287
1393,788425535
1394,373371287
1395,373371287
1396,54051801
1397,54051801
1398,553130699
1399,623047786
1400,153920527
1401,153920527
1402,312856545
1403,312856545
1404,29338861
1405,224682943
1406,224682943
1407,224682943
1408,26197681
1409,553132798
1410,224682942
1411,553132799
1412,224682940
1413,553132799
1414,29401079
1415,29401079
1416,26303201
1417,26303201
1418,224682940
1419,224682941
1420,340722841
1421,553132801
1422,247803157
1423,247803157
1424,25322655
1425,725697209
1426,248801781
1427,199195192
1428,199195192
1429,80719683
1430,80719683
1431,24157631
1432,25116633
1433,312856545
1434,312856545
1435,164313470
1436,164313470
1437,331111570
1438,26306476
1439,331111570
1440,24191691
1441,155509531
1442,178427050
1443,691187362
1444,49071346
1445,49071346
1446,49071346
1447,312856545
1448,312856545
1449,78164498
1450,312856545
1451,312856545
1452,25870564
1453,25870564
1454,24392150
1455,24392150
1456,42404066
1457,42404066
1458,245463062
1459,245463062
1460,245463062
1461,245463062
1462,245463062
1463,245463062
1464,245463062
1465,245463062
1466,245463062
1467,245463062
1468,245463062
1469,26257618
1470,26257618
1471,294707399
1472,24195796
1473,307419424
1474,307419424
1475,24195796
1476,24195796
1477,24195796
1478,24195796
1479,125615699
1480,125615699
1481,610891539
1482,144550182
1483,144550182
1484,610891539
1485,741220715
1486,741220715
1487,295147070
1488,295147072
1489,24195796
1490,24195796
1491,125615699
1492,125615699
1493,24195796
1494,24195796
1495,741220715
1496,741220715
1497,24195796
1498,24195796
1499,741220715
1500,741220715
1501,42812629
1502,720251840
1503,826253137
1504,826253137
1505,741220715
1506,741220715
1507,26486199
1508,26486199
1509,26486199
1510,26486199
1511,26486199
